Generation,Max_Score,Avg_Score,max_fitness,Avg_fitness
1,1,0.048,0.0,-99.9
2.0,1,0.042,0.0,-99.9
3.0,1,0.044,0.0,-99.9
4.0,2,0.048,0.0,-99.9
5.0,2,0.056,0.0,-99.9
6.0,2,0.054,0.0,-99.9
7.0,2,0.06,0.0,-99.9
8.0,2,0.07,0.0,-99.9
9.0,2,0.06,0.0,-99.9
10.0,2,0.052,0.0,-99.9
11.0,2,0.06,0.0,-99.9
12.0,2,0.056,0.0,-99.9
13.0,2,0.056,0.0,-99.9
14.0,1,0.058,0.0,-99.9
15.0,2,0.084,0.0,-99.9
16.0,2,0.054,0.0,-99.9
17.0,3,0.074,0.0,-99.9
18.0,2,0.06,0.0,-99.9
19.0,2,0.056,0.0,-99.9
20.0,1,0.082,0.0,-99.9
21.0,2,0.086,0.0,-99.9
22.0,2,0.044,0.0,-99.9
23.0,2,0.092,0.0,-99.9
24.0,1,0.056,0.0,-99.9
25.0,1,0.066,0.0,-99.9
26.0,2,0.09,0.0,-99.9
27.0,2,0.12,1111111.1111111112,10830.80707070707
28.0,2,0.102,0.0,-99.9
29.0,2,0.124,1125000.0,13293.374853801168
30.0,3,0.11,0.0,-99.9
31.0,2,0.104,0.0,-99.9
32.0,2,0.11,1076923.0769230768,4178.946153846154
33.0,2,0.098,0.0,-99.9
34.0,2,0.114,1095238.0952380954,6454.212554112553
35.0,3,0.102,0.0,-99.9
36.0,2,0.128,1133333.3333333333,24336.923908307286
37.0,2,0.118,1111111.1111111112,13139.51011950165
38.0,2,0.134,1142857.1428571427,28903.90644142254
39.0,2,0.114,1111111.1111111112,8654.616594516594
40.0,2,0.126,1125000.0,19818.811749207107
41.0,2,0.128,1125000.0,24279.248681593155
42.0,2,0.086,0.0,-99.9
43.0,3,0.15,1133333.3333333333,33296.95783447394
44.0,2,0.132,1125000.0,19777.318447187492
45.0,2,0.152,1153846.1538461538,46992.278107410304
46.0,3,0.168,1166666.6666666667,47566.40509153729
47.0,2,0.168,1153846.1538461538,62847.44878214618
48.0,3,0.21,1166666.6666666667,92699.12341044482
49.0,2,0.18,1153846.1538461538,57997.66788111007
